사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202309,2호선,서울대입구(관악구청),4533,19,26677,2624,42765,13991,121903,28440,162577,70542,111954,62299,66955,53819,58384,44327,63953,48111,68309,52853,60267,53431,65083,62748,71932,73713,83844,101376,88335,159038,55149,132382,46382,83637,46502,77430,40470,76871,21796,46985,3793,17611,2,2392,0,0,0,0,20231003
202309,2호선,서초,2,0,1794,4397,8728,21308,17244,49741,27987,107446,28355,86782,20999,43876,27685,33670,26451,25063,34102,26793,35470,25673,42564,20709,48058,22821,70353,25612,88606,26930,43061,19340,30256,11913,29059,10550,18876,9854,5931,5616,871,1384,5,43,0,0,0,0,20231003
202309,2호선,선릉,174,3,4400,5990,11094,41977,20865,110274,32661,256702,32179,205942,35891,102969,44890,62837,55277,59342,63966,65574,73779,52078,96705,47678,119805,48400,192084,54022,268623,56767,136767,35194,86018,21386,81121,18858,69932,17263,25225,10276,3692,4384,3,190,0,0,0,0,20231003
202309,2호선,성수,69,1,5327,3583,9368,30453,22225,66689,29644,235471,23197,140281,21538,71522,24659,58345,32184,60986,40025,65416,47619,62357,58843,63532,74584,64465,123365,67303,221311,73023,106945,43172,78223,21016,66318,16572,47501,13870,19853,10746,3022,5596,7,787,0,1,0,0,20231003
202309,2호선,시청,58,0,812,1839,2358,17947,5288,65088,8129,202308,12269,82696,17074,29406,23214,26752,23436,26700,28483,28254,34375,24815,41894,23405,53493,21988,101086,24249,155930,23286,57432,12496,44312,8217,40584,7863,24418,7405,9482,4832,1258,1673,2,126,0,0,0,0,20231003
202309,2호선,신답,11,0,1217,177,1684,577,5870,913,10504,1702,4566,985,2452,1138,2215,1187,2079,1341,2114,1545,1775,1964,1716,2663,2096,3600,1883,4477,2088,9463,1082,6128,710,3290,497,3505,486,2716,166,1807,39,506,0,0,0,0,0,0,20231003
202309,2호선,신당,28,2,5896,1136,11727,8567,27768,15758,46411,29184,27698,21523,20121,18112,19231,19362,21317,20997,21943,21911,21623,22827,22910,25030,26217,29530,30236,38603,31762,53189,22531,34515,17354,22046,16215,19773,14639,18609,7435,11040,1277,3520,1,104,0,0,0,0,20231003
202309,2호선,신대방,303,5,23903,2234,34121,9539,87892,15265,125447,24504,79394,18487,45387,18452,36678,19047,36109,22208,33814,25462,29935,28590,29884,38678,32294,45437,32918,60493,32335,85818,20615,77294,15625,54726,12635,57365,9454,51622,4829,31045,956,8236,1,512,0,0,0,0,20231003
202309,2호선,신도림,3833,24,33671,4922,51151,20171,133620,41831,139314,103010,87659,67094,61025,63610,60208,60506,67475,62743,68595,67463,69452,64085,76433,72372,82075,86939,96891,110650,114263,161825,68522,117592,59915,71437,59516,67707,41391,63336,20143,49262,2362,20976,16,2193,0,0,0,0,20231003
202309,2호선,신림,242,10,35303,3988,66965,16229,178044,26268,252282,41096,155142,41555,87792,38699,73358,42325,76690,45747,71628,52902,65149,57561,63799,73643,68714,91606,72151,122556,72993,195575,49845,173022,40731,115881,37275,109381,32611,101201,18164,67935,3664,19918,18,893,0,0,0,0,20231003
202309,2호선,신설동,31,0,1156,265,1556,1688,4529,4162,7858,11641,5091,8150,4732,7476,5801,6961,6840,6690,7325,7260,7668,6138,8128,5594,9124,5040,11474,5570,11778,7173,4499,5188,2959,3585,2612,3203,1939,3079,693,2161,84,628,0,146,0,0,0,0,20231003
202309,2호선,신정네거리,57,1,8705,1089,17952,2733,47599,4796,43104,10916,24091,8424,17694,7476,15229,8934,15776,10109,13966,11641,12083,12940,11523,17036,12916,22022,12537,30045,11576,44968,7335,34192,5410,19624,4422,17300,3628,15958,1566,10570,244,2791,1,181,0,0,0,0,20231003
202309,2호선,신촌,70,6,8278,2993,14362,15852,36937,39200,52673,86765,39157,97335,38060,74713,46005,63531,60157,69016,63081,74662,64462,64089,73007,62182,89698,69669,107459,92746,101500,119773,71373,77941,73434,47151,80430,41494,80072,36290,39691,23752,7169,6648,2,242,0,0,0,0,20231003
202309,2호선,아현,27,0,5015,842,10814,5928,29429,11967,40265,20777,23619,13174,17832,11894,16069,10478,17550,12787,16769,13777,15168,14612,17364,15822,23747,18778,21042,23594,20633,32506,13080,24088,9528,16462,7159,16018,5605,15214,2158,8843,367,2457,0,80,0,0,0,0,20231003
202309,2호선,양천구청,32,3,4675,950,11690,2495,32268,4862,28424,9341,17553,5193,12093,4780,11012,5733,10405,7147,9042,7980,7420,8707,7346,10956,9500,13622,8894,19649,8703,28483,4185,23761,2856,13882,2559,12353,2406,10884,734,7968,143,2425,0,38,0,0,0,0,20231003
